Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
Uruguay;13.12.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Uzbekistan;08.10.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Vanuatu;28.02.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Venezuela;23.07.1998;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Viet Nam;19.10.1981;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Yemen;17.04.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Zambia;04.05.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Zimbabwe;19.10.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Total;174;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
