ISO3;Year;population;Disaster Internal Displacements (Raw);RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
ASM;2018;;4600;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ASM;2020;;394;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ASM;2021;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ATA;2021;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ATF;2021;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ATG;2017;91.119;1423;1561.694048442147;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ATG;2021;93.2195;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AUS;2013;23111.7815;12734;55.09744023843424;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AUS;2014;23469.5795;1166;4.968133323394226;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AUS;2015;23820.2365;5713;23.983808892913387;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
