GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
Yth_curr_tob_use;PUBLISHED;2020;EMR;SOM;MLE;15.5;15.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SOM;FMLE;12.3;12.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SOM;BTSX;15.6;15.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SDN;MLE;14.5;14.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SDN;FMLE;7.3;7.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SDN;BTSX;11.7;11.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SYR;MLE;31.6;31.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SYR;FMLE;17.4;17.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SYR;BTSX;24.5;24.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;TUN;MLE;19.2;19.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;TUN;FMLE;4.6;4.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;TUN;BTSX;11.7;11.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;ARE;MLE;17.8;17.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;ARE;FMLE;7.7;7.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;ARE;BTSX;12.7;12.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;YEM;MLE;23.9;23.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;YEM;FMLE;9.9;9.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;YEM;BTSX;18.7;18.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PAK;MLE;13.3;13.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PAK;FMLE;6.6;6.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PAK;BTSX;10.7;10.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;QAT;MLE;15.7;15.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;QAT;FMLE;8.7;8.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;QAT;BTSX;12.1;12.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SAU;MLE;21.2;21.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SAU;FMLE;9.1;9.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;SAU;BTSX;14.9;14.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;DJI;MLE;17.8;17.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;DJI;FMLE;11.1;11.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;DJI;BTSX;15.2;15.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;EGY;MLE;18.1;18.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;EGY;FMLE;8.2;8.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;EGY;BTSX;13.6;13.6;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;IRN;MLE;12.9;12.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;IRN;FMLE;7.7;7.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;OMN;BTSX;6.0;6.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;OMN;FMLE;3.9;3.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;OMN;MLE;8.5;8.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PSE;BTSX;31.3;31.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PSE;FMLE;19.7;19.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;PSE;MLE;43.3;43.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;IRN;BTSX;10.2;10.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BIH;MLE;22.7;22.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BIH;FMLE;17.4;17.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BIH;BTSX;20.1;20.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BLR;MLE;9.5;9.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BLR;FMLE;10.1;10.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;BLR;BTSX;9.8;9.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;AFG;MLE;10.4;10.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;AFG;FMLE;6.1;6.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;AFG;BTSX;8.9;8.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;BHR;MLE;26.5;26.5;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;BHR;FMLE;10.2;10.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EMR;BHR;BTSX;18.7;18.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;HUN;MLE;16.0;16.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;HUN;FMLE;15.0;15.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;HUN;BTSX;16.0;16.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;UZB;FMLE;13.9;13.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;UZB;BTSX;14.0;14.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;SMR;MLE;7.3;7.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;SMR;FMLE;7.4;7.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;SMR;BTSX;7.4;7.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;UZB;MLE;14.2;14.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TUR;FMLE;12.1;12.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TJK;FMLE;2.8;2.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TJK;BTSX;3.0;3.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TUR;BTSX;17.9;17.9;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TUR;MLE;23.2;23.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TKM;MLE;0.2;0.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TKM;FMLE;0.4;0.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;EUR;TKM;BTSX;0.3;0.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
