Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
United States of America;02.08.1955;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Uruguay;05.03.1969;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Uzbekistan;08.10.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Vanuatu;27.10.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Venezuela;13.02.1956;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Viet Nam;28.06.1957;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Yemen;16.07.1970;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Zambia;19.10.1966;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Zimbabwe;07.03.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Total;196;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
;"(*) Niue. Niue remains bound by the New Zealand’s ratification of the 1949 Geneva Conventions, until such time as Niue accedes to the Conventions in its own right.
(**) Burundi. On 21 September 2004, the Government of Burundi ratified the Rome Statute of the International Criminal Court. The Statute thus entered into force for Burundi on 1 December 2004 in accordance with its article 126 (2). On 27 October 2016, in accordance with article 127 (1) of the Statute, the Government of Burundi notified the Secretary-General of the United Nations of its decision to withdraw from the Rome Statute of the International Criminal Court. The withdrawal took effect on 27 October 2017.
(***) Philippines. On 30 August 2011, the Government of the Republic of the Philippines ratified the Rome Statute of the International Criminal Court. The Statute thus entered into force for the Philippines on 1 November 2011 in accordance with its article 126 (2). On 17 March 2018, in accordance with article 127 (1) of the Statute, the Government of the Republic of the Philippines notified the Secretary-General of the United Nations of its decision to withdraw from the Rome Statute of the International Criminal Court. The withdrawal took effect on 17 March 2019.
(****) Russian Federation. 29.09.1989 (withdrawal: 23.10.2019).";2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
