GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001555;PUBLISHED;2016;WPR;SLB;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;BOL;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;BHS;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;MKD;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;AUS;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;KAZ;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;ARM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;BLR;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;KNA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;CHL;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;SUR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;URY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;SYR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;ESP;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;SRB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;IRL;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;GRC;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;FRA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;OMN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;LBN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;PAN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;JAM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;ZWE;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;UGA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;SSD;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;GUY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;ERI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;YEM;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;PRK;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;NRU;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;PLW;No data;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
