;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
55;2021.0;3;EST;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
56;2021.0;0;SWZ;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
57;2021.0;0;ETH;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
58;2021.0;1;FJI;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
59;2021.0;3;FIN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
60;2021.0;3;FRA;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
61;2021.0;1;GAB;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
62;2021.0;3;GMB;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
63;2021.0;0;GEO;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
64;2021.0;3;DEU;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
